"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"cheese, feta, whole milk, crumbled";"cheese, feta, whole milk, crumbled";0;0;0.444377777777778;1.6257;0;0;0.0383122222222222;0
"cheese, mozzarella, low moisture, part";"cheese, mozzarella, low moisture, part";26;0;0.36;1.81;0;0;0.09;0
"cheese, parmesan, grated";"cheese, parmesan, grated";6;0;0.345;0.07;0;0;0.081;0
"cheese, parmesan, grated, refrigerated";"cheese, parmesan, grated, refrigerated";0;0;0.409377777777778;0.63815;0;0;0.0229377777777778;0
"cheese, pasteurized process, american, vitamin d fortified";"cheese, pasteurized process, american, vitamin d fortified";0;0;0.247;2.63;0;0;0.056;0
"cheese, ricotta, whole milk";"cheese, ricotta, whole milk";4;0.27;0.327;0;0.115;0.25;0.099;0.221153846153846
"cheese, ricotta, whole milk, galbani";"cheese, ricotta, whole milk, galbani";9;0.24;0.366666666666667;0;0.1;0.22;0.102;0.217391304347826
"cheese, ricotta, whole milk, lucerne";"cheese, ricotta, whole milk, lucerne";0;0;0.29;0;0;0;0.089;0
"cheese, ricotta, whole milk, polly";"cheese, ricotta, whole milk, polly";0;0;0.27;0;0;0;0.109;0
"cheese, ricotta, whole milk, store/other";"cheese, ricotta, whole milk, store/other";0;0.3;0.315;0;0.13;0.28;0.094;0.224137931034483
"cheese, swiss";"cheese, swiss";9;0;0.303;0;0;0;0.07;0
"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";"chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised";0;0;0.187;0;0;0;0.921;0
"chicken, broilers or fryers, drumstick, meat only, cooked, braised";"chicken, broilers or fryers, drumstick, meat only, cooked, braised";0;0;0.18;0;0;0;0.372;0
"chorizo pork sausage, johnsonville, cooked";"chorizo pork sausage, johnsonville, cooked";0;0;0.35;0;0;0;0;0
"chorizo pork sausage, mixed brand, cooked";"chorizo pork sausage, mixed brand, cooked";10;0;0.455;0;0;0;0.554;0
"cookies, oatmeal, soft, with raisins";"cookies, oatmeal, soft, with raisins";34;0;0.218;34.8;0;0;0.07;0
"cranberry juice, not fortified, from concentrate, shelf stable";"cranberry juice, not fortified, from concentrate, shelf stable";8.968;0;0;3.413;0;0;0.00925;0
"cranberry juice, shelf stable, from concentrate, not fortified";"cranberry juice, shelf stable, from concentrate, not fortified";8.9675;0;0;0;0;0;0.00925;0
"eggs, grade a, large, egg white";"eggs, grade a, large, egg white";0;0.726;0.391;0;0.188;0.466;0;0.157718120805369
"eggs, grade a, large, egg whole";"eggs, grade a, large, egg whole";71;0.66;0.419;0.2;0.166;0.512;0.063;0.141638225255973
"eggs, grade a, large, egg yolk";"eggs, grade a, large, egg yolk";0;0.673;0.467;0;0.174;0.684;0;0.12822402358143
"eggs, whites";"eggs, whites";0;0.725555555555556;0.4365;0;0.187777777777778;0.466111111111111;0;0.157575757575758
"eggs, whites ";"eggs, whites ";0;0;0.3683125;0;0;0;0;0
"eggs, whole";"eggs, whole";71.0416666666667;0.66;0.4103125;0;0.166470588235294;0.511764705882353;0.0633333333333333;0.142068273092369
"eggs, whole ";"eggs, whole ";0;0;0.437625;0;0;0;0;0
"eggs, yolk";"eggs, yolk";0;0.672777777777778;0.500428571428571;0;0.173888888888889;0.684444444444444;0;0.128121162505117
"eggs, yolk ";"eggs, yolk ";0;0;0.453470588235294;0;0;0;0;0
"figs, dried, pass ";"figs, dried, pass ";3.38461538461538;0.00615384615384615;0.0207692307692308;0;0.002;0.00330769230769231;0.0256923076923077;0.016260162601626
"figs, dried, uncooked";"figs, dried, uncooked";9;0.069;0.082;47.9;0.019;0.037;0.106;0.179245283018868
"fish, haddock, raw";"fish, haddock, raw";0;0;0.057;0;0;0;0.281;0
"fish, pollock, raw";"fish, pollock, raw";0;0.51;0.08;0;0.18;0.49;0.069;0.18
"fish, tuna, light, canned in water, drained solids";"fish, tuna, light, canned in water, drained solids";0;0;0.082;0;0;0;0.32;0
"flaxseed, ground";"flaxseed, ground";41.45;1.116;0;0;0.3013;0.5725;0.3926;0.178442404501036
"flour, ";"flour, ";13.46125;0;0.09125;0;0;0;0.0551275;0
"flour, all";"flour, all";0;0;0.227375;0;0;0;0;0
"flour, all purpose";"flour, all purpose";90.7416666666667;0;0;0;0;0;0.0760416666666667;0
"flour, almond";"flour, almond";37.83;0;0.7475;0;0;0;0.09988;0
"flour, almond, blanched";"flour, almond, blanched";37.825;0;0.7475;0;0;0;0.099875;0
"flour, bread, white";"flour, bread, white";151.2;0;0;0;0;0;0.0766;0
"flour, bread, white, enriched";"flour, bread, white, enriched";0;0;0.435833333333333;0;0;0;0;0
"flour, bread, white, enriched, unbleached";"flour, bread, white, enriched, unbleached";145;0;0.436;0;0;0;0.079;0
"flour, corn, enriched";"flour, corn, enriched";0;0;0.3538;0;0;0;0;0
"flour, corn, yellow";"flour, corn, yellow";154.8;0;0;0;0;0;0.1298;0
"flour, corn, yellow, fine meal, enriched";"flour, corn, yellow, fine meal, enriched";155;0;0.354;1.04;0;0;0.13;0
"flour, oat, whole grain";"flour, oat, whole grain";34.69;0;0.1613;0;0;0;0.1476;0
"flour, pastry, unenriched, unbleached";"flour, pastry, unenriched, unbleached";0;0;0;0;0;0;0.065;0
"flour, pastry, white";"flour, pastry, white";0;0;0;0;0;0;0.065;0
"flour, potato";"flour, potato";41.15;0;0.115;0;0;0;0.582;0
"flour, rice, brown";"flour, rice, brown";0;0;0.00766666666666667;0;0;0;0.131666666666667;0
"flour, rice, glutenous";"flour, rice, glutenous";0;0;0;0;0;0;0.0435;0
"flour, rice, glutinous";"flour, rice, glutinous";0;0;0;0;0;0;0.044;0
"flour, rice, white";"flour, rice, white";14;0;0;0;0;0;0.0546;0
"flour, rice, white, unenriched";"flour, rice, white, unenriched";8;0;0;0;0;0;0.026;0
"flour, rice, white(unenriched)";"flour, rice, white(unenriched)";0;0;0;0;0;0;0;0
