"food";"Folate, total";"Phenylalanine";"Riboflavin";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"holyRatio"
"mushrooms, maitake";"mushrooms, maitake";NA;NA;310;NA;NA;NA;310;NA
"mushrooms, oyster";"mushrooms, oyster";367;NA;367;NA;NA;NA;367;NA
"mushrooms, pioppini";"mushrooms, pioppini";NA;NA;591;NA;NA;NA;591;NA
"mushrooms, portabella";"mushrooms, portabella";NA;NA;376.5;NA;NA;NA;376.5;NA
"mushrooms, shiitake";"mushrooms, shiitake";306;NA;306;NA;NA;NA;306;NA
"mushrooms, white button";"mushrooms, white button";429.5;NA;429.5;NA;NA;NA;429.5;NA
"mustard, yellow, prepared, french's classic yellow mustard, folate ";"mustard, yellow, prepared, french's classic yellow mustard, folate ";7;NA;NA;NA;NA;NA;NA;NA
"mustard, yellow, prepared, french's classic yellow mustard, riboflavin ";"mustard, yellow, prepared, french's classic yellow mustard, riboflavin ";NA;NA;0.03;NA;NA;NA;NA;NA
"mustard, yellow, prepared, french's classic yellow mustard, vitamin b";"mustard, yellow, prepared, french's classic yellow mustard, vitamin b";NA;NA;NA;NA;NA;NA;0.05;NA
"mustard, yellow, prepared, store brand, folate ";"mustard, yellow, prepared, store brand, folate ";8;NA;NA;NA;NA;NA;NA;NA
"mustard, yellow, prepared, store brand, riboflavin ";"mustard, yellow, prepared, store brand, riboflavin ";NA;NA;0.03;NA;NA;NA;NA;NA
"mustard, yellow, prepared, store brand, vitamin b";"mustard, yellow, prepared, store brand, vitamin b";NA;NA;NA;NA;NA;NA;0.08;NA
"nuts, almonds, dry roasted, with salt added";"nuts, almonds, dry roasted, with salt added";2590;NA;2590;2590;NA;NA;2590;NA
"oatmeal cookies with raisins, pepperidge farm soft baked";"oatmeal cookies with raisins, pepperidge farm soft baked";306;NA;306;NA;NA;NA;306;NA
"oatmeal cookies with raisins, store/other brand";"oatmeal cookies with raisins, store/other brand";361;NA;361;NA;NA;NA;361;NA
"olives green stuffed with pimentos";"olives green stuffed with pimentos";2200;NA;2200;NA;NA;NA;NA;NA
"olives, green, manzanilla, stuffed with pimiento";"olives, green, manzanilla, stuffed with pimiento";1620;NA;1620;1620;NA;NA;1620;NA
"olives, green, stuffed with pimentos ";"olives, green, stuffed with pimentos ";NA;NA;NA;NA;NA;NA;420;NA
"onion rings, breaded, par fried, frozen, prepared, heated in oven";"onion rings, breaded, par fried, frozen, prepared, heated in oven";1210;NA;1210;1210;NA;NA;1210;NA
"onions, red, raw";"onions, red, raw";NA;NA;NA;197;NA;NA;NA;NA
"onions, white, raw";"onions, white, raw";NA;NA;NA;148;NA;NA;NA;NA
"onions, yellow, raw";"onions, yellow, raw";NA;NA;NA;182;NA;NA;NA;NA
"orange juice, no pulp, not fortified, from concentrate, refrigerated";"orange juice, no pulp, not fortified, from concentrate, refrigerated";705.8;NA;NA;705.8;NA;NA;705.8;NA
"orange juice, no pulp, not fortified, not from concentrate, refrigerated";"orange juice, no pulp, not fortified, not from concentrate, refrigerated";756.6;NA;NA;756.6;NA;NA;756.6;NA
"orange juice, refrigerated, no pulp, not fortified";"orange juice, refrigerated, no pulp, not fortified";836;NA;NA;NA;NA;NA;836;NA
"orange juice, refrigerated, no pulp, not fortified, from concentrate";"orange juice, refrigerated, no pulp, not fortified, from concentrate";764;NA;NA;NA;NA;NA;764;NA
"peaches, raw, region ";"peaches, raw, region ";170;NA;170;NA;NA;NA;170;NA
"peanut butter, smooth style, with salt";"peanut butter, smooth style, with salt";2500;NA;2500;2500;NA;NA;2500;NA
"pears, bartlett, pass ";"pears, bartlett, pass ";92;NA;92;NA;NA;NA;92;NA
"peppers, bell, green, raw";"peppers, bell, green, raw";169.05;NA;169.05;NA;NA;NA;169.05;NA
"peppers, bell, orange, raw";"peppers, bell, orange, raw";NA;NA;220.9;NA;NA;NA;220.9;NA
"peppers, bell, orange, raw, mini ";"peppers, bell, orange, raw, mini ";NA;NA;240;NA;NA;NA;240;NA
"peppers, bell, red, raw";"peppers, bell, red, raw";213.85;NA;213.85;NA;NA;NA;213.85;NA
"peppers, bell, red, raw, mini ";"peppers, bell, red, raw, mini ";368.5;NA;368.5;NA;NA;NA;368.5;NA
"peppers, bell, yellow, raw";"peppers, bell, yellow, raw";215.65;NA;215.65;NA;NA;NA;215.65;NA
"peppers, bell, yellow, raw, mini ";"peppers, bell, yellow, raw, mini ";233;NA;233;NA;NA;NA;233;NA
"pickles, cucumber, dill or kosher dill";"pickles, cucumber, dill or kosher dill";808;NA;808;808;NA;NA;808;NA
"pork, cured, bacon, cooked, restaurant";"pork, cured, bacon, cooked, restaurant";NA;NA;NA;2090;NA;NA;NA;NA
"raspberries, raw";"raspberries, raw";NA;NA;NA;1740;NA;NA;NA;NA
"restaurant, chinese, fried rice, without meat";"restaurant, chinese, fried rice, without meat";NA;NA;NA;729;NA;NA;NA;NA
"riboflavin, american cheese, pasteurized process, kraft ";"riboflavin, american cheese, pasteurized process, kraft ";NA;NA;0.23;NA;NA;NA;NA;NA
"riboflavin, american cheese, pasteurized process, kraft deli deluxe ";"riboflavin, american cheese, pasteurized process, kraft deli deluxe ";NA;NA;0.22;NA;NA;NA;NA;NA
"riboflavin, american cheese, pasteurized process, land";"riboflavin, american cheese, pasteurized process, land";NA;NA;0.32;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, cracker barrel ";"riboflavin, cheddar cheese, sliced, cracker barrel ";NA;NA;0.49;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, sargento sharp  ";"riboflavin, cheddar cheese, sliced, sargento sharp  ";NA;NA;0.47;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, store brand, food lion ";"riboflavin, cheddar cheese, sliced, store brand, food lion ";NA;NA;0.48;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, store brand, great value deli style sliced sharp  ";"riboflavin, cheddar cheese, sliced, store brand, great value deli style sliced sharp  ";NA;NA;0.44;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";"riboflavin, cheddar cheese, sliced, store brand, lucerne sliced sharp cheddar natural cheese ";NA;NA;0.33;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, store brand, publix & shoprite ";"riboflavin, cheddar cheese, sliced, store brand, publix & shoprite ";NA;NA;0.34;NA;NA;NA;NA;NA
"riboflavin, cheddar cheese, sliced, tillamook ";"riboflavin, cheddar cheese, sliced, tillamook ";NA;NA;0.55;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, mild, block/chunk kraft ";"riboflavin, cheese, cheddar, mild, block/chunk kraft ";NA;NA;0.48;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, mild, block/chunk, store brand, food club  ";"riboflavin, cheese, cheddar, mild, block/chunk, store brand, food club  ";NA;NA;0.4;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, mild, block/chunk, store brand, great value ";"riboflavin, cheese, cheddar, mild, block/chunk, store brand, great value ";NA;NA;0.47;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded mild, kraft ";"riboflavin, cheese, cheddar, natural shredded mild, kraft ";NA;NA;0.66;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded mild, store brand, great value ";"riboflavin, cheese, cheddar, natural shredded mild, store brand, great value ";NA;NA;0.4;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded mild, store brand, skroger ";"riboflavin, cheese, cheddar, natural shredded mild, store brand, skroger ";NA;NA;0.39;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded mild, store brand, wegmans ";"riboflavin, cheese, cheddar, natural shredded mild, store brand, wegmans ";NA;NA;0.36;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded sharp, kraft ";"riboflavin, cheese, cheddar, natural shredded sharp, kraft ";NA;NA;0.41;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded sharp, store brand, great value ";"riboflavin, cheese, cheddar, natural shredded sharp, store brand, great value ";NA;NA;0.37;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded sharp, store brand, my essentials ";"riboflavin, cheese, cheddar, natural shredded sharp, store brand, my essentials ";NA;NA;0.42;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, natural shredded sharp, store brand, skroger ";"riboflavin, cheese, cheddar, natural shredded sharp, store brand, skroger ";NA;NA;0.38;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, sharp, block/chunk cabot, seriously sharp ";"riboflavin, cheese, cheddar, sharp, block/chunk cabot, seriously sharp ";NA;NA;0.56;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, sharp, block/chunk kraft ";"riboflavin, cheese, cheddar, sharp, block/chunk kraft ";NA;NA;0.48;NA;NA;NA;NA;NA
"riboflavin, cheese, cheddar, sharp, block/chunk, store brand, great value ";"riboflavin, cheese, cheddar, sharp, block/chunk, store brand, great value ";NA;NA;0.51;NA;NA;NA;NA;NA
"riboflavin, cheese, dry white, queso seco, el mexicano brand ";"riboflavin, cheese, dry white, queso seco, el mexicano brand ";NA;NA;0.29;NA;NA;NA;NA;NA
"riboflavin, cheese, dry white, queso seco, mixed composite ";"riboflavin, cheese, dry white, queso seco, mixed composite ";NA;NA;0.25;NA;NA;NA;NA;NA
"riboflavin, cheese, string ";"riboflavin, cheese, string ";NA;NA;0.41;NA;NA;NA;NA;NA
"riboflavin, cheese, swiss, slices ";"riboflavin, cheese, swiss, slices ";NA;NA;0.32;NA;NA;NA;NA;NA
"riboflavin, chicken breasts, boneless, skinless, non";"riboflavin, chicken breasts, boneless, skinless, non";NA;NA;0.22;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, braised, enhanced ";"riboflavin, chicken, dark meat, lean only, drumstick, braised, enhanced ";NA;NA;0.16;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, braised, non";"riboflavin, chicken, dark meat, lean only, drumstick, braised, non";NA;NA;0.19;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, raw, enhanced ";"riboflavin, chicken, dark meat, lean only, drumstick, raw, enhanced ";NA;NA;0.17;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, raw, non";"riboflavin, chicken, dark meat, lean only, drumstick, raw, non";NA;NA;0.2;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, roasted, enhanced ";"riboflavin, chicken, dark meat, lean only, drumstick, roasted, enhanced ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, drumstick, roasted, non";"riboflavin, chicken, dark meat, lean only, drumstick, roasted, non";NA;NA;0.19;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, braised, enhanced ";"riboflavin, chicken, dark meat, lean only, thigh, braised, enhanced ";NA;NA;0.14;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, braised, non";"riboflavin, chicken, dark meat, lean only, thigh, braised, non";NA;NA;0.19;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, raw, enhanced ";"riboflavin, chicken, dark meat, lean only, thigh, raw, enhanced ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, raw, non";"riboflavin, chicken, dark meat, lean only, thigh, raw, non";NA;NA;0.2;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, roasted, enhanced ";"riboflavin, chicken, dark meat, lean only, thigh, roasted, enhanced ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, chicken, dark meat, lean only, thigh, roasted, non";"riboflavin, chicken, dark meat, lean only, thigh, roasted, non";NA;NA;0.19;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, braised, from drumsticks and thighs, enhanced ";"riboflavin, chicken, skin, braised, from drumsticks and thighs, enhanced ";NA;NA;0.04;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, braised, from drumsticks and thighs, non";"riboflavin, chicken, skin, braised, from drumsticks and thighs, non";NA;NA;0.06;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, raw, from drumsticks and thighs, enhanced ";"riboflavin, chicken, skin, raw, from drumsticks and thighs, enhanced ";NA;NA;0.04;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, raw, from drumsticks and thighs, non";"riboflavin, chicken, skin, raw, from drumsticks and thighs, non";NA;NA;0.04;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, roasted, from drumsticks and thighs, enhanced ";"riboflavin, chicken, skin, roasted, from drumsticks and thighs, enhanced ";NA;NA;0.06;NA;NA;NA;NA;NA
"riboflavin, chicken, skin, roasted, from drumsticks and thighs, non";"riboflavin, chicken, skin, roasted, from drumsticks and thighs, non";NA;NA;0.07;NA;NA;NA;NA;NA
"riboflavin, cottage cheese, ";"riboflavin, cottage cheese, ";NA;NA;0.3;NA;NA;NA;NA;NA
"riboflavin, greek yogurt, chobani plain non";"riboflavin, greek yogurt, chobani plain non";NA;NA;0.29;NA;NA;NA;NA;NA
"riboflavin, greek yogurt, dannon oikos plain non";"riboflavin, greek yogurt, dannon oikos plain non";NA;NA;0.3;NA;NA;NA;NA;NA
"riboflavin, greek yogurt, fage plain nonfat ";"riboflavin, greek yogurt, fage plain nonfat ";NA;NA;0.29;NA;NA;NA;NA;NA
"riboflavin, ground turkey, ";"riboflavin, ground turkey, ";NA;NA;0.33;NA;NA;NA;NA;NA
"riboflavin, haddock, raw ";"riboflavin, haddock, raw ";NA;NA;0.08;NA;NA;NA;NA;NA
"riboflavin, mozzarella cheese, low";"riboflavin, mozzarella cheese, low";NA;NA;0.45;NA;NA;NA;NA;NA
"riboflavin, mustard, yellow, frenchs classic ";"riboflavin, mustard, yellow, frenchs classic ";NA;NA;0.084;NA;NA;NA;NA;NA
"riboflavin, mustard, yellow, store brand, great value & great value ";"riboflavin, mustard, yellow, store brand, great value & great value ";NA;NA;0.089;NA;NA;NA;NA;NA
"riboflavin, mustard, yellow, store brand, kroger & kroger ";"riboflavin, mustard, yellow, store brand, kroger & kroger ";NA;NA;0.086;NA;NA;NA;NA;NA
"riboflavin, mustard, yellow, store brand, safeway & safeway ";"riboflavin, mustard, yellow, store brand, safeway & safeway ";NA;NA;0.08;NA;NA;NA;NA;NA
"riboflavin, onion rings, frozen, alexia ";"riboflavin, onion rings, frozen, alexia ";NA;NA;0.12;NA;NA;NA;NA;NA
"riboflavin, onion rings, frozen, ore";"riboflavin, onion rings, frozen, ore";NA;NA;0.14;NA;NA;NA;NA;NA
"riboflavin, onion rings, frozen, store brand/other ";"riboflavin, onion rings, frozen, store brand/other ";NA;NA;0.11;NA;NA;NA;NA;NA
"riboflavin, parmesan cheese, grated, kraft ";"riboflavin, parmesan cheese, grated, kraft ";NA;NA;0.39;NA;NA;NA;NA;NA
"riboflavin, parmesan cheese, grated, store brand/other brand, great value ";"riboflavin, parmesan cheese, grated, store brand/other brand, great value ";NA;NA;0.38;NA;NA;NA;NA;NA
"riboflavin, parmesan cheese, grated, store brand/other brand, kroger ";"riboflavin, parmesan cheese, grated, store brand/other brand, kroger ";NA;NA;0.41;NA;NA;NA;NA;NA
"riboflavin, parmesan cheese, grated, store brand/other brand, safeway kitchens ";"riboflavin, parmesan cheese, grated, store brand/other brand, safeway kitchens ";NA;NA;0.27;NA;NA;NA;NA;NA
"riboflavin, peanut butter, creamy, jif ";"riboflavin, peanut butter, creamy, jif ";NA;NA;0.21;NA;NA;NA;NA;NA
"riboflavin, peanut butter, creamy, skippy ";"riboflavin, peanut butter, creamy, skippy ";NA;NA;0.2;NA;NA;NA;NA;NA
"riboflavin, peanut butter, creamy, store brand/other brand, great value ";"riboflavin, peanut butter, creamy, store brand/other brand, great value ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, peanut butter, creamy, store brand/other brand, kroger ";"riboflavin, peanut butter, creamy, store brand/other brand, kroger ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite ";"riboflavin, peanut butter, creamy, store brand/other brand, safeway kitchens & shop rite ";NA;NA;0.17;NA;NA;NA;NA;NA
"riboflavin, pickles, kosher dill, spears, clausen ";"riboflavin, pickles, kosher dill, spears, clausen ";NA;NA;0.057;NA;NA;NA;NA;NA
"riboflavin, pickles, kosher dill, spears, store brand, great value & great value ";"riboflavin, pickles, kosher dill, spears, store brand, great value & great value ";NA;NA;0.057;NA;NA;NA;NA;NA
"riboflavin, pickles, kosher dill, spears, store brand, kroger ";"riboflavin, pickles, kosher dill, spears, store brand, kroger ";NA;NA;0.057;NA;NA;NA;NA;NA
"riboflavin, pickles, kosher dill, spears, store brand, safeway ";"riboflavin, pickles, kosher dill, spears, store brand, safeway ";NA;NA;0.056;NA;NA;NA;NA;NA
"riboflavin, pickles, kosher dill, spears, vlasic ";"riboflavin, pickles, kosher dill, spears, vlasic ";NA;NA;0.063;NA;NA;NA;NA;NA
"riboflavin, pollock, raw ";"riboflavin, pollock, raw ";NA;NA;0.1;NA;NA;NA;NA;NA
"riboflavin, pupusas, bean, flat stuffed corn biscuit ";"riboflavin, pupusas, bean, flat stuffed corn biscuit ";NA;NA;0.04;NA;NA;NA;NA;NA
"riboflavin, sweet and sour pork, chinese restaurant ";"riboflavin, sweet and sour pork, chinese restaurant ";NA;NA;0.15;NA;NA;NA;NA;NA
"riboflavin, tamale, pork ";"riboflavin, tamale, pork ";NA;NA;0.06;NA;NA;NA;NA;NA
"riboflavin, tuna, canned, in water, drained solids,  bumblebee chunk light, in water  ";"riboflavin, tuna, canned, in water, drained solids,  bumblebee chunk light, in water  ";NA;NA;0.08;NA;NA;NA;NA;NA
"riboflavin, tuna, canned, in water, drained solids,  chicken of the sea chunk light, in water  ";"riboflavin, tuna, canned, in water, drained solids,  chicken of the sea chunk light, in water  ";NA;NA;0.07;NA;NA;NA;NA;NA
"riboflavin, tuna, canned, in water, drained solids,  starkist, chunk light, in water  ";"riboflavin, tuna, canned, in water, drained solids,  starkist, chunk light, in water  ";NA;NA;0.09;NA;NA;NA;NA;NA
"riboflavin, tuna, canned, in water, drained solids, store brand,  great value &  safeway ";"riboflavin, tuna, canned, in water, drained solids, store brand,  great value &  safeway ";NA;NA;0.09;NA;NA;NA;NA;NA
"riboflavin, white bread, pepperidge farms ";"riboflavin, white bread, pepperidge farms ";NA;NA;0.27;NA;NA;NA;NA;NA
"riboflavin, white bread, sara lee soft and smooth classic whole ";"riboflavin, white bread, sara lee soft and smooth classic whole ";NA;NA;0.24;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, americas choice large white ";"riboflavin, white bread, store brand, americas choice large white ";NA;NA;0.22;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, food world sandwich bread ";"riboflavin, white bread, store brand, food world sandwich bread ";NA;NA;0.21;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, great value white ";"riboflavin, white bread, store brand, great value white ";NA;NA;0.28;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, kroger bread ";"riboflavin, white bread, store brand, kroger bread ";NA;NA;0.22;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, lowes food store ";"riboflavin, white bread, store brand, lowes food store ";NA;NA;0.23;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, publix bread ";"riboflavin, white bread, store brand, publix bread ";NA;NA;0.27;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, safeway premium white ";"riboflavin, white bread, store brand, safeway premium white ";NA;NA;0.3;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, shop rite round top white ";"riboflavin, white bread, store brand, shop rite round top white ";NA;NA;0.36;NA;NA;NA;NA;NA
"riboflavin, white bread, store brand, sunnyside farms bread ";"riboflavin, white bread, store brand, sunnyside farms bread ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, whole wheat bread, natures own ";"riboflavin, whole wheat bread, natures own ";NA;NA;0.2;NA;NA;NA;NA;NA
"riboflavin, whole wheat bread, store brand/other ";"riboflavin, whole wheat bread, store brand/other ";NA;NA;0.18;NA;NA;NA;NA;NA
"riboflavin, whole wheat bread, stroehmann dutch county ";"riboflavin, whole wheat bread, stroehmann dutch county ";NA;NA;0.16;NA;NA;NA;NA;NA
"riboflavin, yogurt, greek, strawberry, non";"riboflavin, yogurt, greek, strawberry, non";NA;NA;0.34;NA;NA;NA;NA;NA
"sauce, pasta, spaghetti/marinara, ready";"sauce, pasta, spaghetti/marinara, ready";NA;NA;NA;12700;NA;NA;NA;NA
"sauce, salsa, ready";"sauce, salsa, ready";NA;NA;NA;6310;NA;NA;6310;NA
"sausage, italian, pork, mild, cooked, pan";"sausage, italian, pork, mild, cooked, pan";1350;NA;1350;1350;NA;NA;1350;NA
"sausage, pork, chorizo, link or ground, cooked, pan";"sausage, pork, chorizo, link or ground, cooked, pan";1450;NA;1450;NA;NA;NA;1450;NA
"seeds, sunflower seed kernels, dry roasted, with salt added";"seeds, sunflower seed kernels, dry roasted, with salt added";2560;NA;2560;2560;NA;NA;2560;NA
"spinach, baby";"spinach, baby";6565.15;NA;6565.15;NA;NA;NA;6565.15;NA
"spinach, mature";"spinach, mature";7917.75;NA;7917.75;NA;NA;NA;7917.75;NA
"spinach, regular ";"spinach, regular ";9630;NA;9630;NA;NA;NA;9630;NA
"strawberries, fresh, pass ";"strawberries, fresh, pass ";91.1;NA;91.1;NA;NA;NA;91.1;NA
"sugars, granulated";"sugars, granulated";NA;NA;NA;1610;NA;NA;NA;NA
"sunflower seeds dry roasted salted";"sunflower seeds dry roasted salted";785;NA;785;NA;NA;NA;NA;NA
"sunflower seeds, dry roasted, salted ";"sunflower seeds, dry roasted, salted ";NA;NA;NA;NA;NA;NA;42;NA
"tomato juice, shelf stable, from concentrate, with added ingredients";"tomato juice, shelf stable, from concentrate, with added ingredients";276;NA;NA;NA;NA;NA;276;NA
"tomato juice, with added ingredients, from concentrate, shelf stable";"tomato juice, with added ingredients, from concentrate, shelf stable";235.6;NA;NA;235.6;NA;NA;235.6;NA
"tomato, roma";"tomato, roma";2863;NA;2863;NA;NA;NA;2863;NA
"tomatoes, canned, red, ripe, diced";"tomatoes, canned, red, ripe, diced";NA;NA;NA;198;NA;NA;NA;NA
"tomatoes, grape";"tomatoes, grape";4240;NA;4240;NA;NA;NA;4240;NA
"tomatoes, grape, raw";"tomatoes, grape, raw";4100;NA;4100;NA;NA;NA;4100;NA
"tomatoes, roma";"tomatoes, roma";4344.5;NA;4344.5;NA;NA;NA;4344.5;NA
"turkey breakfast sausage, butterball";"turkey breakfast sausage, butterball";NA;NA;480;NA;NA;NA;480;NA
"turkey breakfast sausage, honeysuckle white";"turkey breakfast sausage, honeysuckle white";NA;NA;509;NA;NA;NA;509;NA
"turkey breakfast sausage, jimmy dean";"turkey breakfast sausage, jimmy dean";NA;NA;728;NA;NA;NA;728;NA
"turkey, ground, ";"turkey, ground, ";NA;NA;922;NA;NA;NA;922;NA
"vitamin b";"vitamin b";NA;NA;NA;NA;NA;NA;3.9;NA
"yogurt, greek, plain, whole milk";"yogurt, greek, plain, whole milk";NA;NA;146.9;146.9;NA;NA;146.9;NA
"yogurt, greek, strawberry, nonfat";"yogurt, greek, strawberry, nonfat";347;NA;347;347;NA;NA;347;NA
"yogurt, greek, whole milk, plain";"yogurt, greek, whole milk, plain";NA;NA;209;NA;NA;NA;209;NA
"yogurt, plain, whole milk";"yogurt, plain, whole milk";NA;NA;164.1;164.1;NA;NA;164.1;NA
"yogurt, whole milk, plain";"yogurt, whole milk, plain";NA;NA;212;NA;NA;NA;212;NA
