"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"amino acids, ground turkey, ";"amino acids, ground turkey, ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.71;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.21;0.64;-Inf;-Inf;0.155555555555556
"amino acids, pollock, raw";"amino acids, pollock, raw";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.51;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.18;0.49;-Inf;-Inf;0.18
"amino acids, pupusas, bean, flat stuffed corn biscuit";"amino acids, pupusas, bean, flat stuffed corn biscuit";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.3;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0566666666666667;0.143333333333333;-Inf;-Inf;0.127605244996549
"amino acids, sweet and sour pork, chinese restaurant";"amino acids, sweet and sour pork, chinese restaurant";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.343333333333333;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.101666666666667;0.253333333333333;-Inf;-Inf;0.171001884739931
"amino acids, tamale, pork";"amino acids, tamale, pork";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.235;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.06;0.17;-Inf;-Inf;0.144132653061224
"apple juice from concentrate with added vitamin c, shelf stable";"apple juice from concentrate with added vitamin c, shelf stable";1.6875;1.25996932515337;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.02;-Inf;0
"apple juice, with added vitamin c, from concentrate, shelf stable";"apple juice, with added vitamin c, from concentrate, shelf stable";0.772;0.615950920245399;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;10.295;-Inf;-Inf;0.01388;-Inf;0
"apples, fuji";"apples, fuji";0;1.84049079754601;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.08;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.045;-Inf;0
"apples, fuji, with skin, raw";"apples, fuji, with skin, raw";0;1.07361963190184;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.074;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0405;-Inf;0
"apples, gala";"apples, gala";0;2.30061349693252;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.08;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.038;-Inf;0
