"food";"Folate, total";"Iron, Fe";"MUFA 12:1";"MUFA 14:1 c";"MUFA 15:1";"MUFA 16:1 c";"MUFA 17:1";"MUFA 17:1 c";"MUFA 18:1";"MUFA 18:1 c";"MUFA 20:1";"MUFA 20:1 c";"MUFA 22:1";"MUFA 22:1 c";"MUFA 22:1 n-11";"MUFA 22:1 n-9";"MUFA 24:1 c";"Phenylalanine";"PUFA 18:2";"PUFA 18:2 c";"PUFA 18:2 CLAs";"PUFA 18:2 n-6 c,c";"PUFA 18:3";"PUFA 18:3 c";"PUFA 18:3 n-3 c,c,c (ALA)";"PUFA 18:3 n-6 c,c,c";"PUFA 18:3i";"PUFA 18:4";"PUFA 20:2 c";"PUFA 20:2 n-6 c,c";"PUFA 20:3";"PUFA 20:3 c";"PUFA 20:3 n-3";"PUFA 20:3 n-9";"PUFA 20:4";"PUFA 20:4 n-6";"PUFA 20:4c";"PUFA 20:5 n-3 (EPA)";"PUFA 20:5c";"PUFA 22:2";"PUFA 22:3";"PUFA 22:4";"PUFA 22:5 c";"PUFA 22:5 n-3 (DPA)";"PUFA 22:6 c";"PUFA 22:6 n-3 (DHA)";"Riboflavin";"SFA 14:0";"SFA 15:0";"SFA 16:0";"SFA 17:0";"SFA 18:0";"SFA 20:0";"SFA 21:0";"SFA 22:0";"SFA 23:0";"SFA 24:0";"Sugars, Total NLEA";"Tryptophan";"Tyrosine";"Vitamin B-6";"Vitamin D3 (cholecalciferol)";"holyRatio"
"italian pork sausage, johnsonville hot, cooked";"italian pork sausage, johnsonville hot, cooked";-Inf;19.1717791411043;-Inf;0.024;0;272.872340425532;3.69230769230769;-Inf;-Inf;10;-Inf;0.289;-Inf;-Inf;-Inf;0.008;0;-Inf;-Inf;-Inf;0.021;4.61;-Inf;-Inf;0.145;0.004;-Inf;0;-Inf;0.235;-Inf;-Inf;0.022;0;0.119;0.035;-Inf;0;-Inf;0.003;-Inf;0.048;-Inf;0.02;-Inf;0;-Inf;0.338;0.011;5.56;0.063;2.84;0.066;-Inf;0.009;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"italian pork sausage, johnsonville mild, cooked";"italian pork sausage, johnsonville mild, cooked";0;27.6073619631902;-Inf;0.024;0;357.978723404255;4.61538461538461;-Inf;-Inf;12.2;-Inf;0.37;-Inf;-Inf;-Inf;0.011;0;-Inf;-Inf;-Inf;0.033;4.94;-Inf;-Inf;0.196;0.006;-Inf;0;-Inf;0.255;-Inf;-Inf;0.033;0;0.15;0.04;-Inf;0.003;-Inf;0.004;-Inf;0.057;-Inf;0.034;-Inf;0.004;0.24;0.382;0.014;6.47;0.077;3.36;0.081;-Inf;0.012;-Inf;0.003;-Inf;-Inf;-Inf;0.319;-Inf;0
"italian pork sausage, kroger, cooked";"italian pork sausage, kroger, cooked";-Inf;18.4049079754601;-Inf;0.016;0;271.276595744681;3.46153846153846;-Inf;-Inf;10.1;-Inf;0.347;-Inf;-Inf;-Inf;0.012;0;-Inf;-Inf;-Inf;0.023;3.8;-Inf;-Inf;0.221;0.005;-Inf;0;-Inf;0.22;-Inf;-Inf;0.043;0;0.104;0.032;-Inf;0.004;-Inf;0.004;-Inf;0.043;-Inf;0.033;-Inf;0.004;-Inf;0.301;0.011;5.31;0.058;2.74;0.07;-Inf;0.009;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"italian pork sausage, store/other, cooked";"italian pork sausage, store/other, cooked";-Inf;21.1656441717791;-Inf;0.032;0;390.957446808511;6.30769230769231;-Inf;-Inf;13.1;-Inf;0.334;-Inf;-Inf;-Inf;0.009;0;-Inf;-Inf;-Inf;0.041;5.06;-Inf;-Inf;0.215;0.007;-Inf;0;-Inf;0.247;-Inf;-Inf;0.032;0;0.139;0.041;-Inf;0.034;-Inf;0.006;-Inf;0.054;-Inf;0.028;-Inf;0.008;-Inf;0.412;0.018;6.88;0.098;3.46;0.074;-Inf;0.012;-Inf;0;-Inf;-Inf;-Inf;0.387;-Inf;0
"kale";"kale";21.75;55.3680981595092;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.43;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"kale ";"kale ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.105;-Inf;0
"kale, frozen, cooked, boiled, drained, without salt";"kale, frozen, cooked, boiled, drained, without salt";16.25;12.8834355828221;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.14;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;1.12;-Inf;-Inf;0.063;-Inf;0
"kale, raw";"kale, raw";15.5;24.5398773006135;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.347;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.8;-Inf;-Inf;0.147;-Inf;0
"ketchup";"ketchup";-Inf;10.7361963190184;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"ketchup ";"ketchup ";-Inf;9.66257668711657;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"ketchup, restaurant";"ketchup, restaurant";-Inf;6.59509202453988;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;21.8;-Inf;-Inf;-Inf;-Inf;0
"kiwi, pass ";"kiwi, pass ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.0329380764163373
"kiwi, region ";"kiwi, region ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.022323436797121
"kiwifruit, green, raw";"kiwifruit, green, raw";6.5;3.68098159509202;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.039;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.025;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;8.99;0.013;0.03;0.061;-Inf;0.188405797101449
"lettuce, cos or romaine, raw";"lettuce, cos or romaine, raw";12.5;14.5705521472393;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.066;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.072;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;1.19;0.011;0.024;0.078;-Inf;0.122222222222222
"lunchmeat ham";"lunchmeat ham";-Inf;10.4294478527607;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"lunchmeat, ham ";"lunchmeat, ham ";-Inf;-Inf;-Inf;0;0;47.7756286266925;0.517482517482518;-Inf;-Inf;1.35090909090909;-Inf;0.0266363636363636;-Inf;-Inf;-Inf;0;0;-Inf;-Inf;-Inf;0.00336363636363636;0.443090909090909;-Inf;-Inf;0.0132727272727273;0;-Inf;0;-Inf;0.0170909090909091;-Inf;-Inf;0.000818181818181818;0;0.0529090909090909;0.00781818181818182;-Inf;0;-Inf;0;-Inf;0.00981818181818182;-Inf;0.00509090909090909;-Inf;0.000545454545454545;-Inf;0.0420909090909091;0.000818181818181818;0.709636363636364;0.00790909090909091;0.348363636363636;0.00490909090909091;-Inf;0.000545454545454545;-Inf;0;-Inf;-Inf;-Inf;-Inf;-Inf;0
"melons, cantaloupe, raw";"melons, cantaloupe, raw";3.5;5.82822085889571;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.019;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.027;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;7.88;0.002;0.012;0.04;-Inf;0.0645161290322581
"milk, ";"milk, ";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.068609022556391
"milk, lowfat, fluid, ";"milk, lowfat, fluid, ";0.5;0;0;0.028;0;6.38297872340426;0.153846153846154;0.8;-Inf;0.187;-Inf;0.001;-Inf;0;0;0;0;0.168;-Inf;0.029;0.004;0.026;-Inf;0.004;0.004;0;-Inf;0;0;0;-Inf;0.001;0;0;0.001;0.001;0.001;0;0;0;0;0;0;0;0;0;0.14;0.093;0.01;0.265;0.006;0.096;0.001;0;0;0;0;4.96;0.045;0.167;0.06;1.1;0.134328358208955
"milk, nonfat, fluid, with added vitamin a and vitamin d";"milk, nonfat, fluid, with added vitamin a and vitamin d";0.5;0;0;0;0;0.531914893617021;0;0;-Inf;0.017;-Inf;0;-Inf;0;0;0;0;0.168;-Inf;0.005;0;0.005;-Inf;0;0;0;-Inf;0;0;0;-Inf;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.131;0.008;0.001;0.021;0.001;0.009;0;0;0;0;0;5.05;0.048;0.168;0.058;1.1;0.142857142857143
"milk, reduced fat, fluid, ";"milk, reduced fat, fluid, ";0.5;0;0.0769230769230769;0.056;0;12.7659574468085;0.230769230769231;1.2;-Inf;0.358;-Inf;0.002;-Inf;0;0;0;0;0.163;-Inf;0.052;0.007;0.045;-Inf;0.007;0.007;0;-Inf;0;0;0;-Inf;0.002;0;0;0.003;0.002;0.003;0;0;0;0;0;0.001;0.001;0;0;0.137;0.181;0.019;0.512;0.011;0.184;0.002;0;0.001;0;0;4.89;0.042;0.165;0.061;1.13;0.128048780487805
"milk, skim";"milk, skim";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.199;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.072;-Inf;0
"milk, skim ";"milk, skim ";1.5;0;0;0.032;0;9.04255319148936;0;-Inf;-Inf;0.193;-Inf;0.002;-Inf;-Inf;0;0;0;0.2;-Inf;-Inf;0.005;0.029;-Inf;-Inf;0.004;0;-Inf;0;-Inf;0;-Inf;-Inf;0;0;0.001;0.001;-Inf;0;-Inf;0;0;0;-Inf;0;-Inf;0;-Inf;0.108;0.011;0.337;0.005;0.099;0.001;0;0.001;0;0;-Inf;0.06;0.2;-Inf;1.6;0.15
"milk, whole";"milk, whole";-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.178;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0.076;-Inf;0
"milk, whole ";"milk, whole ";0;0;0.153846153846154;0.108;0;23.4042553191489;0.461538461538462;-Inf;-Inf;0.741;-Inf;0.005;-Inf;-Inf;0;0;0;0.18;-Inf;-Inf;0.016;0.128;-Inf;-Inf;0.015;0.002;-Inf;0.001;-Inf;0.001;-Inf;-Inf;0;0;0.006;0.005;-Inf;0.001;-Inf;0;0;0.001;-Inf;0.003;-Inf;0;-Inf;0.328;0.037;0.922;0.021;0.393;0.005;0.001;0.003;0;0.002;-Inf;0.05;0.18;-Inf;1.4;0.138888888888889
"milk, whole, ";"milk, whole, ";0;0;0.0769230769230769;0.096;0;20.7446808510638;0.384615384615385;2;-Inf;0.612;-Inf;0.004;-Inf;0;0;0;0;0.161;-Inf;0.097;0.013;0.084;-Inf;0.013;0.012;0.001;-Inf;0;0.001;0.001;-Inf;0.004;0;0;0.004;0.004;0.004;0.001;0.001;0;0;0.001;0.002;0.002;0;0;0.138;0.303;0.032;0.857;0.018;0.309;0.004;0;0.002;0;0.001;4.81;0.043;0.162;0.061;1;0.13312693498452
"minerals ";"minerals ";-Inf;38.1134969325153;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, best choice deluxe ";"minerals, american cheese, pasteurized process, best choice deluxe ";-Inf;3.22085889570552;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, great value deluxe  ";"minerals, american cheese, pasteurized process, great value deluxe  ";-Inf;2.30061349693252;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, hautly cheese company ";"minerals, american cheese, pasteurized process, hautly cheese company ";-Inf;3.52760736196319;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, hyvee deluxe sliced ";"minerals, american cheese, pasteurized process, hyvee deluxe sliced ";-Inf;2.14723926380368;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, kraft ";"minerals, american cheese, pasteurized process, kraft ";-Inf;12.5383435582822;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, kraft deli deluxe ";"minerals, american cheese, pasteurized process, kraft deli deluxe ";-Inf;12.6533742331288;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, kroger deluxe ";"minerals, american cheese, pasteurized process, kroger deluxe ";-Inf;3.29754601226994;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, land";"minerals, american cheese, pasteurized process, land";-Inf;2.76073619631902;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, lucerne deluxe slices ";"minerals, american cheese, pasteurized process, lucerne deluxe slices ";-Inf;14.2638036809816;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, publix deluxe ";"minerals, american cheese, pasteurized process, publix deluxe ";-Inf;8.43558282208589;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, shop rite singles ";"minerals, american cheese, pasteurized process, shop rite singles ";-Inf;2.45398773006135;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
"minerals, american cheese, pasteurized process, sunnyside farms ";"minerals, american cheese, pasteurized process, sunnyside farms ";-Inf;1.99386503067485;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;-Inf;0
